f1 
average, total time, call num, min, max
128.353851 ms, 16686 ms, 130, 109, 217 

f1 
average, total time, call num, min, max
129.729324 ms, 17254 ms, 133, 110, 218 

f2 
average, total time, call num, min, max
126.750000 ms, 16731 ms, 132, 109, 209 

